"Timestamp (America/Chicago)","RA3E-F52ABC Red [Temperature](1)Temperature(F°)"
06/17/2024 15:27:04,67.32
06/17/2024 15:23:29,66.97
06/17/2024 15:13:20,64.72
06/17/2024 15:09:48,65.17
06/17/2024 15:07:04,65.75
06/17/2024 15:05:32,66.20
06/17/2024 15:04:32,66.52
06/17/2024 15:03:32,66.97
06/17/2024 15:02:32,67.55
06/17/2024 15:01:32,68.00
06/17/2024 15:00:31,68.45
06/17/2024 14:59:31,68.32
06/17/2024 14:58:08,68.32
06/17/2024 14:57:08,68.11
06/17/2024 14:56:08,68.11
06/17/2024 14:51:48,67.66
06/17/2024 14:50:26,67.32
06/17/2024 14:49:22,66.87
06/17/2024 14:48:22,66.52
06/17/2024 14:47:22,66.07
06/17/2024 14:46:22,65.75
06/17/2024 14:45:22,65.07
06/17/2024 14:44:22,64.40
06/17/2024 14:43:22,63.82
06/17/2024 13:56:06,63.05
06/17/2024 12:56:02,62.47
06/17/2024 12:55:02,62.37
06/17/2024 12:54:02,62.37
06/17/2024 12:53:02,62.37
06/17/2024 12:50:13,62.47
06/17/2024 12:48:52,62.47
06/17/2024 12:47:52,62.60
06/17/2024 12:46:52,62.71
06/17/2024 12:41:04,62.47
06/17/2024 12:40:04,62.37
06/17/2024 12:39:04,62.37
06/17/2024 12:38:05,62.37
06/17/2024 12:36:13,62.47
06/17/2024 12:35:13,62.60
06/17/2024 12:34:14,62.71
06/17/2024 12:22:04,62.60
06/17/2024 12:21:04,62.60
06/17/2024 12:13:55,62.37
06/17/2024 11:13:52,62.02
06/17/2024 10:13:49,62.26
06/17/2024 09:13:45,65.75
06/17/2024 08:15:32,62.02
06/17/2024 07:15:28,62.15
06/17/2024 06:15:24,61.92
06/17/2024 05:15:21,62.15
06/17/2024 04:15:17,61.92
06/17/2024 03:15:14,61.92
06/17/2024 02:15:10,61.92
06/17/2024 01:15:07,61.92
06/17/2024 00:15:03,61.92
06/16/2024 23:15:00,61.81
06/16/2024 22:14:56,61.70
06/16/2024 21:14:52,61.70
06/16/2024 20:14:49,61.70
06/16/2024 19:14:45,61.81
06/16/2024 18:14:41,61.47
06/16/2024 17:14:38,61.70
06/16/2024 16:14:34,61.81
06/16/2024 15:14:31,61.70
06/16/2024 14:14:27,61.81
06/16/2024 13:14:24,61.81
06/16/2024 12:14:20,61.81
06/16/2024 11:14:17,61.57
06/16/2024 10:14:13,62.15
06/16/2024 09:14:10,64.96
06/16/2024 08:17:20,61.25
06/16/2024 07:17:17,61.12
06/16/2024 06:17:13,61.02
06/16/2024 05:17:10,61.02
06/16/2024 04:17:06,61.12
06/16/2024 03:17:03,60.91
06/16/2024 02:16:59,61.25
06/16/2024 01:16:55,61.02
06/16/2024 00:16:52,61.25
06/15/2024 23:16:48,61.12
06/15/2024 22:16:45,61.12
06/15/2024 21:16:41,61.25
06/15/2024 20:16:38,61.47
06/15/2024 19:16:34,61.47
06/15/2024 18:16:31,61.47
06/15/2024 17:16:27,61.47
06/15/2024 16:16:24,61.47
06/15/2024 15:16:20,61.57
06/15/2024 14:16:16,61.36
06/15/2024 13:16:13,61.47
06/15/2024 12:16:09,61.47
06/15/2024 11:16:06,61.57
06/15/2024 10:16:02,62.15
06/15/2024 09:15:59,65.30
06/15/2024 08:31:31,61.47
06/15/2024 07:31:27,61.70
06/15/2024 06:31:24,61.57
06/15/2024 05:31:20,61.57
06/15/2024 04:31:17,61.47
06/15/2024 03:31:13,61.36
06/15/2024 02:31:10,61.25
06/15/2024 01:31:06,61.12
06/15/2024 00:31:03,61.02
06/14/2024 23:30:59,61.02
06/14/2024 22:30:56,61.02
06/14/2024 21:30:52,61.02
06/14/2024 20:30:49,61.12
06/14/2024 19:30:45,61.02
06/14/2024 18:30:41,60.57
06/14/2024 17:30:38,60.80
06/14/2024 16:30:34,60.80
06/14/2024 15:30:30,60.91
06/14/2024 14:30:27,61.02
06/14/2024 13:30:23,61.36
06/14/2024 13:29:23,61.25
06/14/2024 13:28:23,61.02
06/14/2024 13:27:19,61.12
06/14/2024 13:26:19,61.12
06/14/2024 13:25:19,61.12
06/14/2024 13:24:19,61.25
06/14/2024 13:23:19,61.12
06/14/2024 13:22:19,61.25
06/14/2024 13:21:19,61.12
06/14/2024 13:20:19,61.02
06/14/2024 13:19:19,61.02
06/14/2024 13:18:19,61.02
06/14/2024 12:51:55,61.12
06/14/2024 12:50:55,61.02
06/14/2024 12:49:55,60.91
06/14/2024 12:45:16,61.25
06/14/2024 12:43:23,61.25
06/14/2024 12:42:22,61.47
06/14/2024 12:41:23,61.47
06/14/2024 12:33:49,61.12
06/14/2024 12:26:35,61.25
06/14/2024 12:25:35,61.02
06/14/2024 12:23:36,61.12
06/14/2024 11:23:33,60.22
06/14/2024 10:23:30,60.01
06/14/2024 10:13:37,63.72
06/14/2024 09:24:58,67.55
06/14/2024 09:14:19,63.95
06/14/2024 08:59:06,60.22
06/14/2024 07:59:03,60.35
06/14/2024 06:59:00,60.57
06/14/2024 05:58:56,60.35
06/14/2024 04:58:53,60.57
06/14/2024 03:58:49,60.57
06/14/2024 02:58:45,60.46
06/14/2024 01:58:42,60.57
06/14/2024 00:58:38,60.67
06/13/2024 23:58:34,60.46
06/13/2024 22:58:31,60.67
06/13/2024 21:58:27,60.80
06/13/2024 20:58:24,60.67
06/13/2024 19:58:21,61.02
06/13/2024 18:58:17,61.12
06/13/2024 17:58:13,61.81
06/13/2024 17:23:10,63.61
06/13/2024 17:19:19,64.51
06/13/2024 17:18:18,65.07
06/13/2024 17:17:18,65.52
06/13/2024 17:16:19,65.97
06/13/2024 17:15:19,66.76
06/13/2024 17:14:19,67.87
06/13/2024 17:13:19,68.56
06/13/2024 17:02:13,68.77
06/13/2024 17:00:33,68.67
06/13/2024 16:59:33,68.45
06/13/2024 16:58:33,68.45
06/13/2024 16:57:32,68.32
06/13/2024 16:56:09,68.22
06/13/2024 16:55:09,68.11
06/13/2024 16:54:09,68.11
06/13/2024 16:53:09,67.87
06/13/2024 15:57:16,67.77
06/13/2024 15:56:16,67.77
06/13/2024 15:54:18,67.42
06/13/2024 15:53:18,67.32
06/13/2024 15:52:18,67.42
06/13/2024 15:16:13,67.55
06/13/2024 14:51:30,66.42
06/13/2024 14:37:59,65.17
06/13/2024 14:36:35,64.85
06/13/2024 14:34:30,64.72
06/13/2024 14:33:03,65.41
06/13/2024 14:29:29,67.55
06/13/2024 14:19:11,66.76
06/13/2024 14:15:01,65.75
06/13/2024 14:12:40,65.07
06/13/2024 14:11:00,66.07
06/13/2024 13:50:43,66.52
06/13/2024 13:43:38,65.07
06/13/2024 13:41:02,64.72
06/13/2024 13:34:19,65.07
06/13/2024 13:31:34,64.62
06/13/2024 13:29:51,65.41
06/13/2024 13:05:03,66.42
06/13/2024 12:04:59,65.86
06/13/2024 11:04:56,64.51
06/13/2024 10:56:33,60.80
06/13/2024 10:55:33,60.67
06/13/2024 10:54:34,60.67
06/13/2024 10:40:54,60.67
06/13/2024 10:39:42,60.80
06/13/2024 10:38:42,60.67
06/13/2024 10:37:42,60.80
06/13/2024 10:32:29,60.57
06/13/2024 10:31:16,60.67
06/13/2024 10:30:17,61.12
06/13/2024 10:14:10,64.27
06/13/2024 10:10:23,67.87
06/13/2024 10:07:17,67.77
06/13/2024 10:06:18,67.77
06/13/2024 10:02:44,67.66
06/13/2024 09:45:02,63.95
06/13/2024 09:28:39,60.22
06/13/2024 09:22:05,63.95
06/13/2024 09:06:30,67.66
06/13/2024 08:06:26,67.66
06/13/2024 07:06:23,67.77
06/13/2024 06:44:56,64.06
06/13/2024 06:35:03,60.35
06/13/2024 06:28:27,64.06
06/13/2024 06:10:09,67.77
06/13/2024 05:10:06,67.77
06/13/2024 04:10:02,67.66
06/13/2024 03:47:37,63.95
06/13/2024 03:37:28,60.22
06/13/2024 03:32:13,63.95
06/13/2024 03:11:55,67.66
06/13/2024 02:11:51,67.77
06/13/2024 01:11:48,67.77
06/13/2024 00:45:51,64.06
06/13/2024 00:42:31,60.35
06/13/2024 00:36:32,64.06
06/12/2024 23:42:37,67.87
06/12/2024 22:42:33,64.27
06/12/2024 21:49:17,67.87
06/12/2024 20:49:14,64.51
06/12/2024 19:51:09,68.32
06/12/2024 18:51:06,65.52
06/12/2024 17:53:14,69.12
06/12/2024 17:05:34,67.55
06/12/2024 17:04:34,66.65
06/12/2024 16:36:56,66.20
06/12/2024 16:35:31,65.75
06/12/2024 16:34:31,65.17
06/12/2024 16:33:31,64.72
06/12/2024 16:31:09,66.31
06/12/2024 16:18:14,70.02
06/12/2024 16:16:35,69.91
06/12/2024 16:15:07,69.80
06/12/2024 16:13:34,69.67
06/12/2024 16:12:00,69.46
06/12/2024 16:10:25,69.22
06/12/2024 16:08:46,68.90
06/12/2024 16:07:09,68.32
06/12/2024 16:05:26,66.76
06/12/2024 15:48:56,67.10
06/12/2024 15:46:24,67.10
06/12/2024 15:45:23,67.10
06/12/2024 15:44:21,67.10
06/12/2024 15:43:20,67.10
06/12/2024 15:42:17,67.42
06/12/2024 15:41:14,67.55
06/12/2024 15:40:13,67.87
06/12/2024 15:39:09,68.11
06/12/2024 15:22:29,69.91
06/12/2024 15:21:11,69.80
06/12/2024 15:20:08,69.67
06/12/2024 15:19:02,69.57
06/12/2024 15:18:01,69.35
06/12/2024 15:16:56,69.22
06/12/2024 15:15:51,68.90
06/12/2024 15:14:40,68.32
06/12/2024 15:13:24,67.21
06/12/2024 14:55:16,67.10
06/12/2024 14:52:23,67.32
06/12/2024 14:51:23,67.42
06/12/2024 14:50:23,67.42
06/12/2024 14:49:23,67.77
06/12/2024 14:48:23,68.32
06/12/2024 14:33:09,69.12
06/12/2024 14:31:34,68.77
06/12/2024 14:30:29,68.45
06/12/2024 14:29:20,68.00
06/12/2024 14:11:59,67.32
06/12/2024 14:10:32,67.66
06/12/2024 14:09:32,68.22
06/12/2024 14:07:10,69.01
06/12/2024 14:05:17,68.67
06/12/2024 14:04:14,68.32
06/12/2024 14:03:12,67.87
06/12/2024 13:34:24,69.46
06/12/2024 13:06:41,69.46
06/12/2024 12:47:20,69.46
06/12/2024 12:41:22,69.67
06/12/2024 12:37:59,69.80
06/12/2024 12:35:29,69.80
06/12/2024 12:33:35,69.91
06/12/2024 12:05:14,69.57
06/12/2024 12:04:14,69.35
06/12/2024 11:56:41,68.11
06/12/2024 11:55:31,68.32
06/12/2024 11:54:31,68.32
06/12/2024 11:52:41,68.22
06/12/2024 11:50:37,68.11
06/12/2024 11:40:47,63.95
06/12/2024 11:39:55,64.17
06/12/2024 11:39:12,63.72
06/12/2024 11:12:03,61.70
06/12/2024 11:07:44,61.70
06/12/2024 11:06:04,61.92
06/12/2024 11:04:59,61.92
06/12/2024 10:58:24,62.26
06/12/2024 10:57:24,62.47
06/12/2024 10:48:48,63.16
06/12/2024 10:47:28,63.05
06/12/2024 10:46:28,62.92
06/12/2024 10:32:19,60.46
06/12/2024 10:26:56,60.57
06/12/2024 10:25:56,60.46
06/12/2024 10:16:29,60.46
06/12/2024 09:16:26,59.56
06/12/2024 08:16:22,59.32
06/12/2024 07:16:19,59.22
06/12/2024 06:16:15,59.00
06/12/2024 05:16:12,58.77
06/12/2024 04:16:08,58.66
06/12/2024 03:16:04,58.55
06/12/2024 02:16:01,58.42
06/12/2024 01:15:57,58.32
06/12/2024 00:15:53,58.32
06/11/2024 23:15:50,58.55
06/11/2024 22:15:46,59.22
06/11/2024 21:15:43,59.22
06/11/2024 20:15:39,59.11
06/11/2024 19:15:36,59.22
06/11/2024 18:15:32,59.22
06/11/2024 17:15:28,59.32
06/11/2024 16:15:25,60.67
