"Timestamp (America/Chicago)","RA3E-F52ABC TEMP2118 [Temperature](1)Temperature(F°)","RA3E-F52ABC TEMP_HUM2118 [Temperature & Humidity](2)Temperature(F°)","RA3E-F52ABC TEMP_HUM2118 [Temperature & Humidity](2)Humidity(%RH)","RA3E-F52ABC FIRE2118 [Switch](1)Switch"
06/03/2024 21:42:45,63.95,72.61,46.08,Open
06/03/2024 20:56:21,60.22,72.70,45.12,Open
06/03/2024 19:56:17,60.35,72.70,45.12,Open
06/03/2024 18:56:14,60.46,72.86,45.12,Open
06/03/2024 17:56:10,60.67,72.97,45.12,Open
06/03/2024 16:56:07,61.12,73.29,44.80,Open
06/03/2024 15:56:03,62.15,74.17,44.48,Open
06/03/2024 14:55:59,61.92,73.74,45.45,Open
06/03/2024 13:55:56,61.47,73.11,45.45,Open
06/03/2024 12:55:53,61.70,73.22,45.75,Open
06/03/2024 11:55:49,61.57,73.76,45.75,Open
06/03/2024 10:55:45,61.47,73.04,46.08,Open
06/03/2024 09:55:42,61.47,73.09,46.08,Open
06/03/2024 08:55:38,61.57,73.08,46.08,Open
06/03/2024 07:55:35,61.36,72.93,45.75,Open
06/03/2024 06:55:31,61.36,72.99,45.75,Open
06/03/2024 05:55:28,61.47,73.15,45.75,Open
06/03/2024 04:55:24,61.36,73.13,45.45,Open
06/03/2024 03:55:21,61.25,72.97,44.48,Open
06/03/2024 02:55:17,61.12,73.18,44.80,Open
06/03/2024 01:55:13,61.25,73.09,44.17,Open
06/03/2024 00:55:10,61.25,72.99,44.48,Open
06/02/2024 23:55:06,61.25,72.97,44.80,Open
06/02/2024 22:55:03,61.12,72.90,45.75,Open
06/02/2024 22:42:45,64.72,73.02,46.40,Open
06/02/2024 22:05:23,68.56,73.02,46.40,Open
06/02/2024 21:43:58,64.96,73.20,45.75,Open
06/02/2024 20:47:14,61.25,73.17,45.45,Open
06/02/2024 19:47:11,61.36,73.24,45.45,Open
06/02/2024 18:47:07,61.36,73.09,45.45,Open
06/02/2024 17:47:03,61.25,72.95,45.75,Open
06/02/2024 16:47:00,61.36,73.18,45.12,Open
06/02/2024 15:46:56,61.57,73.18,45.45,Open
06/02/2024 14:46:53,61.47,73.20,45.12,Open
06/02/2024 13:46:49,61.36,73.13,45.75,Open
06/02/2024 12:46:46,61.36,73.04,45.45,Open
06/02/2024 11:46:42,61.47,73.22,44.80,Open
06/02/2024 10:46:38,61.25,73.00,44.80,Open
06/02/2024 09:46:35,61.36,73.04,45.12,Open
06/02/2024 08:46:31,61.47,73.15,45.12,Open
06/02/2024 07:46:28,61.36,73.13,45.45,Open
06/02/2024 06:46:24,61.47,73.06,45.45,Open
06/02/2024 05:46:21,61.36,73.11,45.75,Open
06/02/2024 04:46:17,61.36,73.13,45.75,Open
06/02/2024 03:46:14,61.47,73.11,45.75,Open
06/02/2024 02:46:10,61.25,73.09,45.75,Open
06/02/2024 01:46:07,61.25,73.06,45.75,Open
06/02/2024 00:46:03,61.12,73.04,46.08,Open
06/01/2024 23:45:59,61.25,73.11,46.40,Open
06/01/2024 22:45:56,63.16,72.72,47.67,Open
06/01/2024 21:45:53,65.07,73.38,46.40,Open
06/01/2024 20:55:32,61.36,73.04,46.08,Open
06/01/2024 19:55:29,61.47,73.08,46.40,Open
06/01/2024 18:55:25,61.36,73.11,46.40,Open
06/01/2024 17:55:22,61.47,73.13,46.08,Open
06/01/2024 16:55:19,61.47,73.15,45.75,Open
06/01/2024 15:55:15,61.25,72.97,45.75,Open
06/01/2024 14:55:11,61.25,72.91,45.75,Open
06/01/2024 13:55:08,61.12,73.00,45.75,Open
06/01/2024 12:55:04,61.25,73.02,45.12,Open
06/01/2024 11:55:00,61.12,72.91,45.12,Open
06/01/2024 10:54:57,61.02,73.02,43.53,Open
06/01/2024 09:54:53,60.67,72.86,39.40,Open
06/01/2024 08:54:49,60.46,72.86,37.50,Open
06/01/2024 07:54:46,60.35,72.68,36.22,Open
06/01/2024 06:54:43,60.01,72.64,32.40,Open
06/01/2024 05:54:39,60.01,72.64,31.77,Open
06/01/2024 04:54:36,60.01,72.61,32.08,Open
06/01/2024 03:54:32,60.01,72.61,33.67,Open
06/01/2024 02:54:28,60.12,72.55,34.00,Open
06/01/2024 01:54:25,59.90,72.64,30.80,Open
06/01/2024 00:54:21,59.67,72.55,31.12,Open
05/31/2024 23:54:18,60.01,72.64,34.30,Open
05/31/2024 22:54:15,60.22,72.54,35.90,Open
05/31/2024 22:45:58,63.95,72.64,35.90,Open
05/31/2024 22:01:55,67.66,72.68,36.85,Open
05/31/2024 21:47:16,63.95,72.68,35.58,Open
05/31/2024 20:50:09,60.22,72.72,36.22,Open
05/31/2024 19:50:05,60.46,72.63,40.35,Open
05/31/2024 18:50:02,60.22,72.54,37.80,Open
05/31/2024 17:49:58,60.12,72.46,36.22,Open
05/31/2024 16:49:54,60.35,72.39,37.50,Open
05/31/2024 15:49:51,60.22,72.46,37.50,Open
05/31/2024 14:49:47,60.01,72.54,38.45,Open
05/31/2024 13:49:44,60.12,72.27,39.08,Open
05/31/2024 12:49:40,59.77,72.23,38.12,Open
05/31/2024 12:01:23,59.56,72.12,33.03,Open
05/31/2024 11:01:19,59.32,71.98,34.00,Open
05/31/2024 10:01:16,58.42,71.33,36.53,Open
05/31/2024 09:01:12,58.77,71.82,36.53,Open
05/31/2024 08:01:08,58.77,71.49,36.22,Open
05/31/2024 07:01:05,60.46,73.47,34.95,Open
05/31/2024 06:01:01,60.35,73.22,37.17,Open
05/31/2024 05:00:58,59.90,72.93,36.22,Open
05/31/2024 04:00:54,59.45,72.48,34.95,Open
05/31/2024 03:00:50,58.66,72.12,31.45,Open
05/31/2024 02:00:47,58.10,71.64,28.27,Open
05/31/2024 01:00:43,58.10,71.60,26.67,Open
05/31/2024 00:00:40,57.65,71.37,26.67,Open
05/30/2024 23:00:36,57.07,70.66,25.72,Open
05/30/2024 22:48:27,60.80,70.86,25.08,Open
05/30/2024 21:57:24,64.51,71.19,22.54,Open
05/30/2024 21:48:37,60.80,70.95,22.85,Open
05/30/2024 21:28:12,57.07,70.92,22.85,Open
05/30/2024 20:28:08,56.97,71.01,24.12,Open
05/30/2024 19:28:05,57.20,71.04,23.17,Open
05/30/2024 18:28:01,57.52,71.15,24.77,Open
05/30/2024 17:27:58,58.10,71.55,25.40,Open
05/30/2024 16:27:54,57.76,72.19,25.08,Open
05/30/2024 16:18:04,50.45,72.21,25.40,Open
05/30/2024 16:14:55,42.01,72.18,25.72,Open
05/30/2024 15:29:40,67.21,70.61,25.40,Open
05/30/2024 14:29:37,68.00,71.33,24.45,Open
05/30/2024 13:29:33,68.00,71.55,25.08,Open
05/30/2024 12:29:29,68.00,71.51,25.72,Open
05/30/2024 11:29:26,68.22,71.62,29.85,Open
