"Timestamp (America/Chicago)","RA3E-6C6E39 TEMP2259 [Temperature](1)Temperature(F°)","RA3E-6C6E39 TEMP_HUM2259 [Temperature & Humidity](2)Temperature(F°)","RA3E-6C6E39 TEMP_HUM2259 [Temperature & Humidity](2)Humidity(%RH)","RA3E-6C6E39 FIRE2259 [Switch](1)Switch"
06/03/2024 21:23:55,70.02,72.84,43.53,Open
06/03/2024 20:23:57,69.57,72.70,42.25,Open
06/03/2024 19:23:53,69.57,72.70,42.58,Open
06/03/2024 18:23:45,69.46,72.73,42.58,Open
06/03/2024 17:23:41,69.57,72.52,42.58,Open
06/03/2024 16:23:38,69.46,72.54,43.22,Open
06/03/2024 15:23:40,69.35,72.59,43.22,Open
06/03/2024 14:23:30,69.01,72.55,43.53,Open
06/03/2024 13:23:27,69.12,72.43,43.85,Open
06/03/2024 12:23:28,68.32,71.94,43.53,Open
06/03/2024 11:23:20,68.11,71.06,46.40,Open
06/03/2024 10:23:25,68.22,70.92,46.08,Open
06/03/2024 09:23:17,68.00,70.90,46.40,Open
06/03/2024 08:23:09,68.11,70.88,45.45,Open
06/03/2024 07:23:05,68.11,70.88,44.80,Open
06/03/2024 06:23:02,68.11,70.77,45.12,Open
06/03/2024 05:23:03,68.11,70.95,45.45,Open
06/03/2024 04:22:59,68.22,70.93,46.08,Open
06/03/2024 03:22:56,68.22,70.90,46.08,Open
06/03/2024 02:22:52,68.11,70.92,46.08,Open
06/03/2024 01:22:49,68.11,70.99,46.08,Open
06/03/2024 00:22:45,68.32,70.88,46.40,Open
06/02/2024 23:22:42,68.32,71.04,46.40,Open
06/02/2024 22:22:33,68.22,71.02,46.40,Open
06/02/2024 21:22:35,68.45,70.97,46.72,Open
06/02/2024 20:22:30,68.32,71.02,46.72,Open
06/02/2024 19:22:27,68.45,70.95,46.40,Open
06/02/2024 18:22:23,68.45,71.01,46.72,Open
06/02/2024 17:22:20,68.56,71.01,46.72,Open
06/02/2024 16:22:16,68.11,70.88,45.75,Open
06/02/2024 15:22:13,68.00,70.99,45.75,Open
06/02/2024 14:22:04,68.00,70.97,45.45,Open
06/02/2024 13:22:05,68.22,70.97,45.75,Open
06/02/2024 12:22:02,68.11,70.95,45.45,Open
06/02/2024 11:21:53,68.11,70.84,45.12,Open
06/02/2024 10:21:50,68.11,70.86,45.45,Open
06/02/2024 09:21:51,68.00,70.92,45.12,Open
06/02/2024 08:21:48,68.00,70.81,45.12,Open
06/02/2024 07:21:44,68.11,70.92,45.45,Open
06/02/2024 06:21:41,68.32,70.90,46.40,Open
06/02/2024 05:21:37,68.32,70.88,46.08,Open
06/02/2024 04:21:33,68.22,70.95,46.40,Open
06/02/2024 03:21:30,68.32,70.99,46.40,Open
06/02/2024 02:21:26,68.32,71.04,46.08,Open
06/02/2024 01:21:23,68.45,71.10,46.40,Open
06/02/2024 00:21:19,68.45,71.20,46.40,Open
06/01/2024 23:21:15,68.45,71.20,46.08,Open
06/01/2024 22:21:12,68.45,71.26,47.03,Open
06/01/2024 21:21:07,68.56,71.20,46.72,Open
06/01/2024 20:21:05,68.56,71.20,47.03,Open
06/01/2024 19:21:01,68.22,71.31,46.40,Open
06/01/2024 18:20:58,68.45,71.20,46.40,Open
06/01/2024 17:20:49,68.45,71.13,45.75,Open
06/01/2024 16:20:45,68.32,71.24,44.17,Open
06/01/2024 15:20:47,68.22,71.01,43.85,Open
06/01/2024 14:20:38,68.22,71.17,43.85,Open
06/01/2024 13:20:40,68.22,71.15,43.22,Open
06/01/2024 12:20:36,68.22,71.15,43.22,Open
06/01/2024 11:20:33,68.32,71.13,42.58,Open
06/01/2024 10:20:29,68.45,71.15,41.95,Open
06/01/2024 09:20:25,68.45,71.22,39.40,Open
06/01/2024 08:20:16,68.22,71.24,39.08,Open
06/01/2024 07:20:18,68.32,71.22,36.85,Open
06/01/2024 06:20:14,68.45,71.20,34.30,Open
06/01/2024 05:20:06,68.32,71.29,34.00,Open
06/01/2024 04:20:07,68.45,71.26,34.62,Open
06/01/2024 03:20:04,68.56,71.24,37.17,Open
06/01/2024 02:20:01,68.67,71.37,34.95,Open
06/01/2024 01:19:56,68.67,71.42,34.00,Open
06/01/2024 00:19:48,69.01,71.44,36.22,Open
05/31/2024 23:19:49,68.77,71.42,37.17,Open
05/31/2024 22:19:46,68.77,71.44,38.75,Open
05/31/2024 21:19:37,68.90,71.46,38.75,Open
05/31/2024 20:19:34,68.90,71.40,40.35,Open
05/31/2024 19:19:30,68.77,71.46,40.35,Open
05/31/2024 18:19:26,68.45,71.47,37.80,Open
05/31/2024 17:19:28,68.77,71.53,37.50,Open
05/31/2024 16:19:24,68.77,71.58,38.45,Open
05/31/2024 15:19:21,68.77,71.67,38.12,Open
05/31/2024 14:19:17,68.77,71.60,38.12,Open
05/31/2024 13:19:13,68.67,71.55,38.12,Open
05/31/2024 12:19:10,68.90,71.58,35.58,Open
05/31/2024 11:19:06,68.90,71.80,35.58,Open
05/31/2024 10:18:58,69.12,71.73,36.53,Open
05/31/2024 09:18:59,69.46,71.91,36.85,Open
05/31/2024 08:18:55,69.46,72.00,36.53,Open
05/31/2024 07:18:52,70.70,73.51,35.25,Open
05/31/2024 06:18:48,70.02,72.95,38.45,Open
05/31/2024 05:18:45,69.91,72.79,37.50,Open
05/31/2024 04:18:41,70.25,72.70,36.22,Open
05/31/2024 03:18:38,70.12,72.43,33.03,Open
05/31/2024 02:18:34,69.80,72.27,28.27,Open
05/31/2024 01:18:25,69.80,72.30,26.03,Open
05/31/2024 00:18:27,69.67,72.30,27.00,Open
05/30/2024 23:18:18,69.57,72.10,24.12,Open
05/30/2024 22:18:15,68.45,71.10,23.17,Open
05/30/2024 21:18:16,68.56,71.24,21.90,Open
05/30/2024 20:18:12,68.67,71.33,23.50,Open
05/30/2024 19:18:09,68.77,71.40,22.85,Open
05/30/2024 18:18:05,68.90,71.49,24.12,Open
05/30/2024 17:17:57,69.12,71.82,24.77,Open
05/30/2024 16:17:58,69.35,72.75,24.12,Open
05/30/2024 15:17:54,69.46,72.72,23.80,Open
05/30/2024 14:17:46,69.22,72.84,22.54,Open
05/30/2024 13:17:48,69.46,72.64,23.80,Open
05/30/2024 12:17:44,68.90,72.16,26.67,Open
05/30/2024 11:17:35,68.90,71.60,29.85,Open
05/30/2024 10:17:36,69.22,71.62,30.50,Open
05/30/2024 09:17:28,70.25,72.81,29.53,Open
05/30/2024 08:17:29,70.02,72.64,28.27,Open
05/30/2024 07:17:26,69.91,72.48,28.58,Open
05/30/2024 06:17:17,69.80,72.46,27.62,Open
05/30/2024 05:17:19,70.36,72.86,27.95,Open
05/30/2024 04:17:15,70.25,72.64,27.95,Open
05/30/2024 03:17:11,69.57,71.98,26.67,Open
05/30/2024 02:17:08,69.22,71.82,25.40,Open
05/30/2024 01:17:04,69.46,71.91,25.40,Open
05/30/2024 00:16:56,69.46,72.00,24.77,Open
05/29/2024 23:16:57,69.57,72.05,24.12,Open
05/29/2024 22:16:48,69.67,72.27,22.85,Open
05/29/2024 21:16:50,69.80,72.23,21.27,Open
05/29/2024 20:16:46,69.46,72.30,23.50,Open
05/29/2024 19:16:43,68.32,71.29,27.62,Open
05/29/2024 18:16:34,68.56,71.28,27.95,Open
05/29/2024 17:16:31,69.01,71.60,28.90,Open
05/29/2024 16:16:27,69.12,71.64,33.03,Open
05/29/2024 15:16:28,70.12,72.21,34.62,Open
05/29/2024 14:16:20,70.12,72.34,38.75,Open
05/29/2024 13:16:21,69.57,72.46,39.40,Open
05/29/2024 12:16:18,70.12,73.65,37.17,Open
05/29/2024 11:16:14,70.36,73.29,37.80,Open
05/29/2024 10:16:11,70.57,73.49,36.85,Open
05/29/2024 09:16:02,70.70,73.54,37.80,Open
05/29/2024 08:16:03,71.02,73.72,38.75,Open
05/29/2024 07:15:59,71.82,74.07,40.03,Open
05/29/2024 06:15:56,71.47,73.99,38.75,Open
05/29/2024 05:15:47,71.71,73.98,39.40,Open
05/29/2024 04:15:44,71.60,73.62,40.03,Open
05/29/2024 03:15:45,71.37,73.89,39.40,Open
05/29/2024 02:15:42,71.37,73.87,39.40,Open
05/29/2024 01:15:38,71.37,73.74,39.08,Open
05/29/2024 00:15:35,71.02,73.63,40.03,Open
05/28/2024 23:15:31,71.02,73.62,42.25,Open
05/28/2024 22:15:27,70.70,73.22,44.17,Open
05/28/2024 21:15:24,70.25,73.22,41.30,Open
05/28/2024 20:15:20,70.25,73.42,40.35,Open
05/28/2024 19:15:16,70.25,73.26,40.03,Open
05/28/2024 18:15:13,70.36,73.31,40.35,Open
05/28/2024 17:15:09,70.47,73.42,41.00,Open
