"Timestamp (America/Chicago)","RA3E-6C6E39 TEMP_HUM2259 [Temperature & Humidity](2)Temperature(F°)","RA3E-6C6E39 TEMP_HUM2259 [Temperature & Humidity](2)Humidity(%RH)","RA3E-F52ABC TEMP_HUM2118 [Temperature & Humidity](2)Temperature(F°)","RA3E-F52ABC TEMP_HUM2118 [Temperature & Humidity](2)Humidity(%RH)","RA3E-6C6E39 TEMP_HUM2259 [Temperature & Humidity](2)Dew Point(F°)","RA3E-F52ABC TEMP_HUM2118 [Temperature & Humidity](2)Dew Point(F°)"
06/03/2024 21:42:45,,,72.61,46.08,,50.62
06/03/2024 21:23:55,72.84,43.53,,,49.31,
06/03/2024 20:56:21,,,72.70,45.12,,50.14
06/03/2024 20:23:57,72.70,42.25,,,48.37,
06/03/2024 19:56:17,,,72.70,45.12,,50.14
06/03/2024 19:23:53,72.70,42.58,,,48.58,
06/03/2024 18:56:14,,,72.86,45.12,,50.29
06/03/2024 18:23:45,72.73,42.58,,,48.62,
06/03/2024 17:56:10,,,72.97,45.12,,50.39
06/03/2024 17:23:41,72.52,42.58,,,48.42,
06/03/2024 16:56:07,,,73.29,44.80,,50.49
06/03/2024 16:23:38,72.54,43.22,,,48.84,
06/03/2024 15:56:03,,,74.17,44.48,,51.10
06/03/2024 15:23:40,72.59,43.22,,,48.88,
06/03/2024 14:55:59,,,73.74,45.45,,51.29
06/03/2024 14:23:30,72.55,43.53,,,49.04,
06/03/2024 13:55:56,,,73.11,45.45,,50.71
06/03/2024 13:23:27,72.43,43.85,,,49.13,
06/03/2024 12:55:53,,,73.22,45.75,,50.99
06/03/2024 12:23:28,71.94,43.53,,,48.49,
06/03/2024 11:55:49,,,73.76,45.75,,51.49
06/03/2024 11:23:20,71.06,46.40,,,49.39,
06/03/2024 10:55:45,,,73.04,46.08,,51.02
06/03/2024 10:23:25,70.92,46.08,,,49.07,
06/03/2024 09:55:42,,,73.09,46.08,,51.07
06/03/2024 09:23:17,70.90,46.40,,,49.24,
06/03/2024 08:55:38,,,73.08,46.08,,51.05
06/03/2024 08:23:09,70.88,45.45,,,48.67,
06/03/2024 07:55:35,,,72.93,45.75,,50.73
06/03/2024 07:23:05,70.88,44.80,,,48.29,
06/03/2024 06:55:31,,,72.99,45.75,,50.78
06/03/2024 06:23:02,70.77,45.12,,,48.38,
06/03/2024 05:55:28,,,73.15,45.75,,50.93
06/03/2024 05:23:03,70.95,45.45,,,48.74,
06/03/2024 04:55:24,,,73.13,45.45,,50.73
06/03/2024 04:22:59,70.93,46.08,,,49.09,
06/03/2024 03:55:21,,,72.97,44.48,,50.00
06/03/2024 03:22:56,70.90,46.08,,,49.06,
06/03/2024 02:55:17,,,73.18,44.80,,50.39
06/03/2024 02:22:52,70.92,46.08,,,49.07,
06/03/2024 01:55:13,,,73.09,44.17,,49.93
06/03/2024 01:22:49,70.99,46.08,,,49.14,
06/03/2024 00:55:10,,,72.99,44.48,,50.02
06/03/2024 00:22:45,70.88,46.40,,,49.23,
06/02/2024 23:55:06,,,72.97,44.80,,50.19
06/02/2024 23:22:42,71.04,46.40,,,49.38,
06/02/2024 22:55:03,,,72.90,45.75,,50.69
06/02/2024 22:42:45,,,73.02,46.40,,51.19
06/02/2024 22:22:33,71.02,46.40,,,49.36,
