"Timestamp (America/Chicago)","RA3E-F52ABC TEMP2118 [Temperature](1)Temperature(F°)","RA3E-F52ABC TEMP_HUM2118 [Temperature & Humidity](2)Temperature(F°)","RA3E-F52ABC TEMP_HUM2118 [Temperature & Humidity](2)Humidity(%RH)","RA3E-F52ABC FIRE2118 [Switch](1)Switch"
06/13/2024 13:50:43,66.52,73.69,13.32,Open
06/13/2024 13:43:38,65.07,77.29,12.04,Open
06/13/2024 13:41:02,64.72,80.85,11.40,Open
06/13/2024 13:34:19,65.07,77.22,12.35,Open
06/13/2024 13:31:34,64.62,80.89,10.77,Open
06/13/2024 13:29:51,65.41,77.36,12.67,Open
06/13/2024 13:05:03,66.42,73.67,13.95,Open
06/13/2024 12:04:59,65.86,73.98,13.95,Open
06/13/2024 11:04:56,64.51,75.74,13.00,Open
06/13/2024 10:56:33,60.80,76.89,13.00,Open
06/13/2024 10:55:33,60.67,74.25,21.27,Open
06/13/2024 10:54:34,60.67,71.78,22.85,Open
06/13/2024 10:40:54,60.67,72.10,17.77,Open
06/13/2024 10:39:42,60.80,72.16,23.17,Open
06/13/2024 10:38:42,60.67,72.39,32.08,Open
06/13/2024 10:37:42,60.80,71.65,21.58,Open
06/13/2024 10:32:29,60.57,71.62,16.17,Open
06/13/2024 10:31:16,60.67,71.65,21.58,Open
06/13/2024 10:30:17,61.12,71.87,38.75,Open
06/13/2024 10:14:10,64.27,71.65,43.85,Open
06/13/2024 10:10:23,67.87,71.85,41.00,Open
06/13/2024 10:07:17,67.77,71.78,46.08,Open
06/13/2024 10:06:18,67.77,71.64,37.50,Open
06/13/2024 10:02:44,67.66,71.62,32.40,Open
06/13/2024 09:45:02,63.95,71.74,32.40,Open
06/13/2024 09:28:39,60.22,71.74,32.40,Open
06/13/2024 09:22:05,63.95,71.58,32.08,Open
06/13/2024 09:06:30,67.66,71.56,32.08,Open
06/13/2024 08:06:26,67.66,71.56,32.08,Open
06/13/2024 07:06:23,67.77,71.38,31.77,Open
06/13/2024 06:44:56,64.06,71.56,31.77,Open
06/13/2024 06:35:03,60.35,71.44,31.77,Open
06/13/2024 06:28:27,64.06,71.35,31.45,Open
06/13/2024 06:10:09,67.77,71.13,31.77,Open
06/13/2024 05:10:06,67.77,70.97,31.77,Open
06/13/2024 04:10:02,67.66,70.88,31.77,Open
06/13/2024 03:47:37,63.95,70.84,32.08,Open
06/13/2024 03:37:28,60.22,70.79,31.77,Open
06/13/2024 03:32:13,63.95,70.81,31.77,Open
06/13/2024 03:11:55,67.66,70.77,31.77,Open
06/13/2024 02:11:51,67.77,70.36,32.08,Open
06/13/2024 01:11:48,67.77,69.93,32.40,Open
06/13/2024 00:45:51,64.06,69.75,32.40,Open
06/13/2024 00:42:31,60.35,69.82,32.40,Open
06/13/2024 00:36:32,64.06,69.69,32.40,Open
06/12/2024 23:42:37,67.87,69.39,32.72,Open
06/12/2024 22:42:33,64.27,68.94,32.40,Open
06/12/2024 21:49:17,67.87,68.34,31.77,Open
06/12/2024 20:49:14,64.51,67.84,30.50,Open
06/12/2024 19:51:09,68.32,67.46,28.58,Open
06/12/2024 18:51:06,65.52,67.32,25.72,Open
06/12/2024 17:53:14,69.12,68.13,21.58,Open
06/12/2024 17:05:34,67.55,68.31,16.17,Open
06/12/2024 17:04:34,66.65,61.86,20.62,Open
06/12/2024 16:36:56,66.20,58.14,20.95,Open
06/12/2024 16:35:31,65.75,61.75,18.40,Open
06/12/2024 16:34:31,65.17,69.58,13.32,Open
06/12/2024 16:33:31,64.72,88.39,6.95,Open
06/12/2024 16:31:09,66.31,92.16,6.32,Open
06/12/2024 16:18:14,70.02,89.87,7.27,Open
06/12/2024 16:16:35,69.91,86.23,8.54,Open
06/12/2024 16:15:07,69.80,82.54,9.50,Open
06/12/2024 16:13:34,69.67,78.87,11.08,Open
06/12/2024 16:12:00,69.46,75.22,13.00,Open
06/12/2024 16:10:25,69.22,71.51,14.58,Open
06/12/2024 16:08:46,68.90,67.71,16.80,Open
06/12/2024 16:07:09,68.32,64.06,20.00,Open
06/12/2024 16:05:26,66.76,60.35,22.22,Open
06/12/2024 15:48:56,67.10,56.61,22.85,Open
06/12/2024 15:46:24,67.10,60.21,20.30,Open
06/12/2024 15:45:23,67.10,63.82,18.08,Open
06/12/2024 15:44:21,67.10,67.71,16.17,Open
06/12/2024 15:43:20,67.10,71.42,13.62,Open
06/12/2024 15:42:17,67.42,75.11,12.04,Open
06/12/2024 15:41:14,67.55,78.73,10.45,Open
06/12/2024 15:40:13,67.87,82.31,9.17,Open
06/12/2024 15:39:09,68.11,85.96,8.22,Open
06/12/2024 15:22:29,69.91,89.73,7.59,Open
06/12/2024 15:21:11,69.80,86.16,8.54,Open
06/12/2024 15:20:08,69.67,82.51,9.50,Open
06/12/2024 15:19:02,69.57,78.78,11.08,Open
06/12/2024 15:18:01,69.35,75.13,13.32,Open
06/12/2024 15:16:56,69.22,71.49,15.22,Open
06/12/2024 15:15:51,68.90,67.89,17.12,Open
06/12/2024 15:14:40,68.32,63.99,19.04,Open
06/12/2024 15:13:24,67.21,60.37,21.90,Open
06/12/2024 14:55:16,67.10,56.64,22.54,Open
06/12/2024 14:52:23,67.32,60.30,19.67,Open
06/12/2024 14:51:23,67.42,66.27,16.17,Open
06/12/2024 14:50:23,67.42,72.93,12.67,Open
06/12/2024 14:49:23,67.77,79.84,9.82,Open
06/12/2024 14:48:23,68.32,86.13,7.59,Open
06/12/2024 14:33:09,69.12,89.85,7.27,Open
06/12/2024 14:31:34,68.77,86.23,8.22,Open
06/12/2024 14:30:29,68.45,82.60,9.82,Open
06/12/2024 14:29:20,68.00,78.87,11.40,Open
06/12/2024 14:11:59,67.32,75.20,12.04,Open
06/12/2024 14:10:32,67.66,78.85,10.77,Open
06/12/2024 14:09:32,68.22,86.83,7.27,Open
06/12/2024 14:07:10,69.01,90.54,6.95,Open
06/12/2024 14:05:17,68.67,86.92,8.22,Open
06/12/2024 14:04:14,68.32,83.26,9.50,Open
06/12/2024 14:03:12,67.87,79.65,10.77,Open
06/12/2024 13:34:24,69.46,76.14,11.72,Open
06/12/2024 13:06:41,69.46,72.37,13.95,Open
06/12/2024 12:47:20,69.46,73.08,18.40,Open
06/12/2024 12:41:22,69.67,73.18,23.17,Open
06/12/2024 12:37:59,69.80,73.47,27.95,Open
06/12/2024 12:35:29,69.80,73.33,32.72,Open
06/12/2024 12:33:35,69.91,73.51,37.50,Open
06/12/2024 12:05:14,69.57,73.76,42.58,Open
06/12/2024 12:04:14,69.35,73.69,20.00,Open
06/12/2024 11:56:41,68.11,74.52,14.90,Open
06/12/2024 11:55:31,68.32,74.70,19.67,Open
06/12/2024 11:54:31,68.32,74.88,34.30,Open
06/12/2024 11:52:41,68.22,75.07,39.72,Open
06/12/2024 11:50:37,68.11,75.11,34.62,Open
06/12/2024 11:40:47,63.95,74.73,35.58,Open
06/12/2024 11:39:55,64.17,74.82,36.22,Open
06/12/2024 11:39:12,63.72,75.00,36.85,Open
06/12/2024 11:12:03,61.70,76.44,39.08,Open
06/12/2024 11:07:44,61.70,80.02,34.00,Open
06/12/2024 11:06:04,61.92,82.85,28.90,Open
06/12/2024 11:04:59,61.92,81.21,23.80,Open
06/12/2024 10:58:24,62.26,77.56,25.08,Open
06/12/2024 10:57:24,62.47,70.93,31.12,Open
06/12/2024 10:48:48,63.16,67.30,35.58,Open
06/12/2024 10:47:28,63.05,70.92,32.72,Open
06/12/2024 10:46:28,62.92,79.68,24.77,Open
06/12/2024 10:32:19,60.46,83.44,28.90,Open
06/12/2024 10:26:56,60.57,79.79,31.77,Open
06/12/2024 10:25:56,60.46,75.96,36.22,Open
06/12/2024 10:16:29,60.46,72.21,37.80,Open
06/12/2024 09:16:26,59.56,72.12,37.80,Open
06/12/2024 08:16:22,59.32,72.14,38.12,Open
06/12/2024 07:16:19,59.22,71.98,37.80,Open
06/12/2024 06:16:15,59.00,72.07,37.80,Open
06/12/2024 05:16:12,58.77,71.94,38.12,Open
06/12/2024 04:16:08,58.66,71.91,38.12,Open
06/12/2024 03:16:04,58.55,71.82,38.12,Open
06/12/2024 02:16:01,58.42,71.78,38.12,Open
06/12/2024 01:15:57,58.32,71.76,38.45,Open
06/12/2024 00:15:53,58.32,71.69,38.75,Open
06/11/2024 23:15:50,58.55,71.58,38.75,Open
06/11/2024 22:15:46,59.22,71.38,39.08,Open
06/11/2024 21:15:43,59.22,71.10,39.40,Open
06/11/2024 20:15:39,59.11,71.10,39.72,Open
06/11/2024 19:15:36,59.22,70.81,40.03,Open
06/11/2024 18:15:32,59.22,70.54,40.03,Open
06/11/2024 17:15:28,59.32,70.47,40.35,Open
06/11/2024 16:15:25,60.67,70.50,40.03,Open
06/11/2024 16:09:59,64.40,70.52,40.03,Open
06/11/2024 15:23:38,68.22,70.86,39.08,Open
06/11/2024 15:11:18,64.51,71.04,38.75,Open
06/11/2024 14:54:34,60.80,71.40,38.75,Open
06/11/2024 14:35:03,60.67,72.32,33.67,Open
06/11/2024 14:30:05,60.91,71.78,39.08,Open
06/11/2024 13:30:01,60.91,73.15,36.85,Open
06/11/2024 13:06:20,60.57,76.78,33.67,Open
06/11/2024 12:57:31,60.67,73.17,34.62,Open
06/11/2024 12:16:54,62.15,72.61,40.03,Open
06/11/2024 11:33:42,60.12,73.04,34.95,Open
06/11/2024 11:32:42,60.22,72.48,39.40,Open
06/11/2024 11:14:08,60.22,72.68,33.67,Open
06/11/2024 10:14:04,58.42,71.38,29.85,Open
06/11/2024 09:14:00,57.76,70.59,27.30,Open
06/11/2024 08:13:57,57.97,70.50,30.80,Open
06/11/2024 07:13:53,58.21,70.48,32.40,Open
06/11/2024 06:13:50,58.32,70.65,34.00,Open
06/11/2024 05:13:46,58.32,70.70,33.67,Open
06/11/2024 04:13:42,58.32,70.52,33.67,Open
06/11/2024 03:13:39,58.32,70.66,34.30,Open
06/11/2024 02:13:35,58.32,70.63,34.62,Open
06/11/2024 01:13:32,57.97,70.65,31.12,Open
06/11/2024 00:13:28,57.97,70.57,29.85,Open
06/10/2024 23:13:24,58.42,70.74,32.40,Open
06/10/2024 22:13:21,58.32,70.77,31.12,Open
06/10/2024 21:13:17,57.87,70.75,27.95,Open
06/10/2024 20:13:14,57.87,70.74,26.67,Open
06/10/2024 19:13:11,57.65,70.66,24.77,Open
06/10/2024 18:13:07,57.87,70.86,26.03,Open
06/10/2024 17:15:14,58.55,71.04,31.12,Open
06/10/2024 16:15:10,60.35,70.93,27.30,Open
06/10/2024 16:11:38,64.06,71.22,27.62,Open
06/10/2024 15:31:33,67.77,71.58,27.95,Open
06/10/2024 15:13:03,64.06,73.11,27.95,Open
06/10/2024 15:06:06,60.35,73.47,27.95,Open
06/10/2024 14:06:02,60.80,73.40,29.22,Open
06/10/2024 13:05:59,59.67,72.30,28.58,Open
06/10/2024 12:05:56,60.91,73.15,29.22,Open
06/10/2024 11:53:28,60.91,76.66,27.00,Open
06/10/2024 11:52:27,60.57,73.31,36.22,Open
06/10/2024 11:12:17,59.56,71.85,30.80,Open
06/10/2024 10:12:14,59.00,70.52,35.58,Open
06/10/2024 09:12:10,59.67,71.62,34.95,Open
06/10/2024 08:12:06,59.32,71.19,34.95,Open
06/10/2024 07:12:03,59.11,70.68,36.53,Open
06/10/2024 06:11:59,59.11,70.61,39.40,Open
06/10/2024 05:11:56,59.00,70.43,40.67,Open
06/10/2024 04:11:52,58.77,70.39,40.03,Open
06/10/2024 03:11:48,59.11,70.48,41.95,Open
06/10/2024 02:11:45,58.77,70.45,41.30,Open
06/10/2024 01:11:41,59.00,70.50,41.62,Open
06/10/2024 00:11:38,59.00,70.52,42.90,Open
06/09/2024 23:11:34,59.11,70.36,43.53,Open
06/09/2024 22:11:31,59.22,70.30,43.53,Open
06/09/2024 21:11:27,59.11,70.32,42.25,Open
06/09/2024 20:11:23,59.00,70.34,41.95,Open
06/09/2024 19:11:20,58.66,70.25,39.72,Open
06/09/2024 18:26:02,58.10,70.14,34.95,Open
06/09/2024 18:09:42,57.97,70.02,29.85,Open
06/09/2024 17:09:39,57.87,70.00,26.35,Open
06/09/2024 16:09:36,54.82,70.16,26.35,Open
06/09/2024 15:35:53,58.55,70.09,27.95,Open
06/09/2024 14:35:50,57.97,70.27,26.67,Open
06/09/2024 13:35:46,58.10,70.29,27.95,Open
06/09/2024 12:35:42,58.42,70.30,30.50,Open
06/09/2024 11:35:39,58.66,70.32,33.67,Open
06/09/2024 10:35:35,59.11,70.39,37.80,Open
06/09/2024 09:35:32,59.11,70.56,39.40,Open
06/09/2024 08:36:04,59.56,70.52,44.48,Open
06/09/2024 07:36:01,59.77,70.74,47.35,Open
06/09/2024 06:35:57,59.77,70.61,47.35,Open
06/09/2024 05:35:54,59.67,70.79,47.03,Open
06/09/2024 04:35:50,59.56,70.63,47.67,Open
06/09/2024 03:35:47,59.45,70.57,47.03,Open
06/09/2024 02:35:43,59.56,70.72,47.03,Open
06/09/2024 01:35:39,59.45,70.83,46.72,Open
06/09/2024 00:35:36,59.56,70.66,47.03,Open
06/08/2024 23:35:32,59.32,70.52,47.03,Open
06/08/2024 22:35:29,60.80,70.07,48.95,Open
06/08/2024 21:35:26,64.17,70.66,47.67,Open
06/08/2024 21:31:55,60.35,70.72,47.03,Open
06/08/2024 20:31:52,59.67,70.72,47.67,Open
06/08/2024 19:31:48,59.67,70.88,47.67,Open
06/08/2024 18:31:44,59.67,70.72,47.67,Open
06/08/2024 17:31:41,59.67,70.74,47.03,Open
06/08/2024 16:31:37,59.67,70.61,47.98,Open
06/08/2024 15:31:32,59.56,70.59,47.67,Open
06/08/2024 14:31:28,59.77,70.77,48.30,Open
06/08/2024 13:31:25,59.67,70.74,46.72,Open
06/08/2024 12:39:23,59.32,70.66,41.95,Open
06/08/2024 11:42:37,58.87,70.59,37.17,Open
06/08/2024 10:42:34,59.00,70.59,35.90,Open
06/08/2024 09:42:30,59.32,70.61,38.12,Open
06/08/2024 08:42:27,59.32,70.66,39.40,Open
06/08/2024 07:42:23,59.45,70.81,41.62,Open
06/08/2024 06:42:20,59.56,70.66,42.58,Open
06/08/2024 05:42:16,59.32,70.77,42.58,Open
06/08/2024 04:42:13,59.56,70.77,42.90,Open
06/08/2024 03:42:09,59.45,70.77,42.25,Open
06/08/2024 02:42:05,59.56,70.83,41.95,Open
06/08/2024 01:42:02,59.45,70.75,41.62,Open
06/08/2024 00:41:58,59.32,70.81,40.67,Open
06/07/2024 23:41:54,59.32,70.68,39.72,Open
06/07/2024 22:41:52,59.56,70.52,40.03,Open
