"Timestamp (America/Chicago)","RA3E-6C6E39 TEMP_HUM2259 [Temperature & Humidity](2)Humidity(%RH)"
06/19/2024 17:19:25,43.22
06/19/2024 16:19:21,42.58
06/19/2024 15:19:18,42.58
06/19/2024 14:19:14,42.58
06/19/2024 13:19:05,42.58
06/19/2024 12:19:07,42.90
06/19/2024 11:19:03,42.58
06/19/2024 10:18:59,42.58
06/19/2024 09:18:56,42.90
06/19/2024 08:18:47,42.90
06/19/2024 07:18:53,42.90
06/19/2024 06:18:46,42.90
06/19/2024 05:18:41,43.53
06/19/2024 04:18:38,45.12
06/19/2024 03:18:34,44.48
06/19/2024 02:18:31,44.80
06/19/2024 01:18:22,44.48
06/19/2024 00:18:24,44.48
06/18/2024 23:18:15,44.17
06/18/2024 22:18:17,44.48
06/18/2024 21:18:13,43.53
06/18/2024 20:18:04,42.90
06/18/2024 19:18:01,42.90
06/18/2024 18:18:02,42.58
06/18/2024 17:17:54,40.67
06/18/2024 16:17:50,40.67
06/18/2024 15:17:52,41.00
06/18/2024 14:17:48,41.00
06/18/2024 13:17:44,41.00
06/18/2024 12:17:40,41.30
06/18/2024 11:17:32,42.58
06/18/2024 10:17:33,43.53
06/18/2024 09:17:25,43.53
06/18/2024 08:17:26,43.85
06/18/2024 07:17:23,43.85
06/18/2024 06:17:19,43.85
06/18/2024 05:17:11,45.12
06/18/2024 04:17:07,45.75
06/18/2024 03:17:03,46.08
06/18/2024 02:17:05,46.08
06/18/2024 01:16:56,45.45
06/18/2024 00:16:57,45.75
06/17/2024 23:16:49,45.75
06/17/2024 22:16:45,45.75
06/17/2024 21:16:47,45.12
06/17/2024 20:16:43,44.48
06/17/2024 19:16:40,44.17
06/17/2024 18:16:31,43.85
06/17/2024 17:16:32,44.80
06/17/2024 16:16:29,44.48
06/17/2024 15:16:20,44.17
06/17/2024 14:16:17,44.17
06/17/2024 13:16:13,44.17
06/17/2024 12:16:15,44.80
06/17/2024 11:16:11,44.80
06/17/2024 10:16:02,45.12
06/17/2024 09:15:59,44.17
06/17/2024 08:16:00,44.48
06/17/2024 07:15:57,44.48
06/17/2024 06:15:53,44.48
06/17/2024 05:15:45,45.12
06/17/2024 04:15:41,46.08
06/17/2024 03:15:37,45.75
06/17/2024 02:15:33,45.45
06/17/2024 01:15:30,45.12
06/17/2024 00:15:31,44.80
06/16/2024 23:15:23,45.12
06/16/2024 22:15:19,45.75
06/16/2024 21:15:20,45.12
06/16/2024 20:15:12,45.12
06/16/2024 19:15:13,45.12
06/16/2024 18:15:10,45.12
06/16/2024 17:15:06,44.48
06/16/2024 16:15:03,43.85
06/16/2024 15:14:59,44.48
06/16/2024 14:14:51,44.17
06/16/2024 13:14:52,43.85
06/16/2024 12:14:43,43.22
06/16/2024 11:14:45,42.90
06/16/2024 10:14:41,41.95
06/16/2024 09:14:32,41.00
06/16/2024 08:14:34,39.72
