"Timestamp (America/Chicago)","RA3E-F52ABC Blue [Temperature & Humidity](2)Temperature(F°)","RA3E-F52ABC Blue [Temperature & Humidity](2)Humidity(%RH)"
06/24/2024 15:18:25,71.20,43.53
06/24/2024 15:17:12,67.55,48.30
06/24/2024 15:10:38,63.99,52.45
06/24/2024 15:09:38,60.76,26.03
06/24/2024 15:08:38,52.92,29.85
06/24/2024 15:07:39,43.02,40.35
06/24/2024 14:40:05,41.85,45.75
06/24/2024 14:38:46,41.88,40.67
06/24/2024 14:36:59,42.69,35.58
06/24/2024 14:34:54,46.24,30.50
06/24/2024 14:33:54,50.18,26.03
06/24/2024 14:32:54,55.96,20.00
06/24/2024 14:31:54,65.17,13.95
06/24/2024 14:30:54,73.13,32.72
06/24/2024 14:28:13,73.78,37.80
06/24/2024 14:27:13,73.62,0.59
06/24/2024 14:21:53,73.69,21.09
06/24/2024 14:20:53,73.67,0.90
06/24/2024 14:18:40,73.65,5.67
06/24/2024 14:17:40,73.74,10.77
06/24/2024 14:16:40,73.81,19.35
06/24/2024 14:15:40,73.98,36.22
06/24/2024 14:06:15,73.99,41.30
06/24/2024 14:05:16,73.58,0.90
06/24/2024 13:07:24,73.51,19.81
06/24/2024 12:07:20,73.51,21.09
06/24/2024 12:06:20,73.40,21.09
06/24/2024 12:05:21,73.38,21.09
06/24/2024 11:52:07,73.45,3.45
06/24/2024 11:46:30,73.40,8.22
06/24/2024 11:43:13,73.35,13.00
06/24/2024 11:41:10,73.33,18.08
06/24/2024 11:40:10,73.49,32.08
06/24/2024 11:39:11,73.56,39.08
06/24/2024 11:03:40,73.35,33.67
06/24/2024 10:03:36,73.29,33.67
06/24/2024 09:03:33,73.20,33.67
06/24/2024 08:05:58,73.18,33.67
06/24/2024 07:05:54,73.20,33.67
06/24/2024 06:05:51,73.20,33.35
06/24/2024 05:05:47,73.02,33.35
06/24/2024 04:05:44,73.29,33.03
06/24/2024 03:05:41,73.08,33.03
06/24/2024 02:05:37,73.20,33.03
06/24/2024 01:05:34,73.27,32.40
06/24/2024 00:05:30,73.17,32.40
06/23/2024 23:05:27,73.13,32.40
06/23/2024 22:05:22,73.29,32.40
06/23/2024 21:05:19,73.26,32.08
06/23/2024 20:05:15,73.09,31.77
06/23/2024 19:05:12,73.36,31.77
06/23/2024 18:05:08,73.22,31.77
06/23/2024 17:05:05,73.20,31.45
06/23/2024 16:05:01,73.20,31.12
06/23/2024 15:04:58,73.22,30.80
06/23/2024 14:04:54,73.22,30.80
06/23/2024 13:04:51,73.31,30.50
06/23/2024 12:04:47,73.24,30.50
06/23/2024 11:04:44,73.13,30.17
06/23/2024 10:04:40,73.31,29.85
06/23/2024 09:04:37,73.22,29.53
06/23/2024 08:07:35,73.33,29.22
06/23/2024 07:07:31,73.40,29.22
