"Timestamp (America/Chicago)","RA3E-F52ABC Red [Temperature](1)Temperature(F°)"
07/11/2024 10:42:07,55.72
07/11/2024 09:42:04,54.95
07/11/2024 09:35:40,58.66
07/11/2024 09:34:29,62.37
07/11/2024 08:45:43,66.07
07/11/2024 08:37:38,62.37
07/11/2024 08:34:54,58.66
07/11/2024 07:44:27,54.82
07/11/2024 06:44:24,55.06
07/11/2024 05:44:20,55.06
07/11/2024 04:44:17,54.95
07/11/2024 03:44:13,54.95
07/11/2024 02:44:09,54.95
07/11/2024 01:44:06,54.95
07/11/2024 00:44:02,55.06
07/10/2024 23:43:59,55.06
07/10/2024 22:43:55,55.06
07/10/2024 21:43:51,55.06
07/10/2024 20:43:48,55.40
07/10/2024 19:43:45,56.30
07/10/2024 18:43:41,56.30
07/10/2024 17:43:38,56.17
07/10/2024 16:43:34,56.17
07/10/2024 15:43:30,56.17
07/10/2024 14:43:27,56.17
07/10/2024 13:43:23,56.30
07/10/2024 12:43:20,56.17
07/10/2024 11:43:16,55.85
07/10/2024 10:43:13,55.72
07/10/2024 09:43:09,54.95
07/10/2024 09:36:52,58.66
07/10/2024 09:35:41,62.37
07/10/2024 08:45:51,66.20
07/10/2024 08:38:38,62.47
07/10/2024 08:36:09,58.77
07/10/2024 07:45:15,55.06
07/10/2024 06:45:11,55.06
07/10/2024 05:45:08,55.06
07/10/2024 04:45:04,55.06
07/10/2024 03:45:01,55.06
07/10/2024 02:44:57,55.06
07/10/2024 01:44:54,55.06
07/10/2024 00:44:50,55.06
07/09/2024 23:44:47,55.06
07/09/2024 22:44:43,55.17
07/09/2024 21:44:40,55.17
07/09/2024 20:44:36,55.40
07/09/2024 19:44:32,55.51
07/09/2024 18:44:29,55.51
07/09/2024 17:44:25,55.96
07/09/2024 17:06:51,56.30
07/09/2024 16:36:03,59.22
07/09/2024 16:20:23,61.47
07/09/2024 16:12:01,61.36
07/09/2024 16:05:33,61.12
07/09/2024 15:58:55,61.02
07/09/2024 15:52:24,60.46
07/09/2024 15:36:18,57.07
07/09/2024 15:28:15,57.31
07/09/2024 15:23:47,57.42
07/09/2024 15:20:18,57.76
07/09/2024 15:17:45,57.97
07/09/2024 15:16:29,58.21
07/09/2024 15:15:30,58.42
07/09/2024 15:14:30,58.66
07/09/2024 15:13:30,58.77
07/09/2024 15:12:29,59.22
07/09/2024 15:11:29,59.67
07/09/2024 15:10:29,60.12
07/09/2024 15:09:29,60.91
07/09/2024 15:08:29,62.15
07/09/2024 15:06:47,62.37
07/09/2024 15:03:54,62.60
07/09/2024 15:01:16,62.92
07/09/2024 14:59:04,63.27
07/09/2024 14:57:06,63.50
07/09/2024 14:55:29,63.37
07/09/2024 14:54:29,63.27
07/09/2024 14:53:29,62.92
07/09/2024 14:52:29,62.82
07/09/2024 14:51:29,62.60
07/09/2024 14:50:29,62.37
07/09/2024 14:49:29,62.02
07/09/2024 14:48:29,61.57
07/09/2024 14:47:29,61.12
07/09/2024 14:46:29,60.57
07/09/2024 14:45:29,59.90
07/09/2024 14:44:29,59.00
07/09/2024 14:43:29,58.10
07/09/2024 14:37:44,56.97
07/09/2024 14:33:15,57.31
07/09/2024 14:31:29,57.52
07/09/2024 14:30:28,57.65
07/09/2024 14:29:28,57.87
07/09/2024 14:28:28,57.87
07/09/2024 14:27:28,58.10
07/09/2024 14:26:28,58.42
07/09/2024 14:25:28,58.55
07/09/2024 14:24:28,58.87
07/09/2024 14:23:28,59.32
07/09/2024 14:22:27,59.77
07/09/2024 14:21:27,60.57
07/09/2024 14:20:27,61.92
07/09/2024 14:19:27,62.02
07/09/2024 14:16:15,62.37
07/09/2024 14:13:43,62.60
07/09/2024 14:11:34,63.05
07/09/2024 14:09:30,63.16
07/09/2024 14:07:35,63.05
07/09/2024 14:06:35,63.05
07/09/2024 14:05:35,62.92
07/09/2024 14:04:35,62.60
07/09/2024 14:03:35,62.47
07/09/2024 14:02:35,62.15
07/09/2024 14:01:35,61.92
07/09/2024 14:00:35,61.47
07/09/2024 13:59:35,61.02
07/09/2024 13:58:35,60.57
07/09/2024 13:57:35,59.90
07/09/2024 13:56:35,59.00
07/09/2024 13:55:35,58.10
07/09/2024 13:48:41,56.86
07/09/2024 13:44:50,57.20
07/09/2024 13:43:16,57.31
07/09/2024 13:42:15,57.31
07/09/2024 13:41:15,57.42
07/09/2024 13:40:15,57.65
07/09/2024 13:39:15,57.87
07/09/2024 13:38:15,58.10
07/09/2024 13:37:15,58.32
07/09/2024 13:36:15,58.66
07/09/2024 13:35:15,59.00
07/09/2024 13:34:14,59.67
07/09/2024 13:33:14,60.46
07/09/2024 13:32:15,61.57
07/09/2024 13:29:19,61.81
07/09/2024 13:26:26,62.15
07/09/2024 13:23:55,62.37
07/09/2024 13:21:54,62.60
07/09/2024 13:19:59,62.60
07/09/2024 13:18:51,62.37
07/09/2024 13:17:51,62.37
07/09/2024 13:16:51,62.15
07/09/2024 13:15:51,61.92
07/09/2024 13:14:51,61.81
07/09/2024 13:13:50,61.47
07/09/2024 13:12:50,61.12
07/09/2024 13:11:50,60.67
07/09/2024 13:10:50,60.22
07/09/2024 13:09:50,59.90
07/09/2024 13:08:50,59.22
07/09/2024 13:07:50,58.55
07/09/2024 13:06:50,57.76
07/09/2024 12:57:32,55.96
07/09/2024 12:56:32,56.07
07/09/2024 12:54:03,55.96
07/09/2024 12:52:55,56.07
07/09/2024 12:51:55,55.85
07/09/2024 12:50:55,55.85
07/09/2024 12:49:55,55.96
07/09/2024 12:48:55,55.85
07/09/2024 12:46:24,55.96
07/09/2024 12:45:24,55.85
07/09/2024 12:40:57,55.96
07/09/2024 12:38:27,56.07
07/09/2024 12:37:27,55.96
07/09/2024 12:36:27,56.07
07/09/2024 12:35:27,55.96
07/09/2024 11:39:45,55.72
07/09/2024 10:39:41,55.51
07/09/2024 10:08:59,54.72
