"Timestamp (America/Chicago)","RA3E-F52ABC Blue [Temperature & Humidity](2)Temperature(F°)","RA3E-F52ABC Blue [Temperature & Humidity](2)Humidity(%RH)"
07/10/2024 23:43:59,74.23,53.40
07/10/2024 22:43:55,74.25,53.70
07/10/2024 21:43:51,74.68,54.35
07/10/2024 20:43:48,74.61,53.40
07/10/2024 19:43:45,74.68,53.40
07/10/2024 18:43:41,74.30,53.08
07/10/2024 17:43:38,74.39,53.08
07/10/2024 16:43:34,74.30,52.75
07/10/2024 15:43:30,74.07,53.40
07/10/2024 14:43:27,73.92,53.40
07/10/2024 13:43:23,73.69,53.40
07/10/2024 12:43:20,73.49,54.03
07/10/2024 11:43:16,73.17,54.03
07/10/2024 10:43:13,72.88,54.03
07/10/2024 09:43:09,72.95,54.03
07/10/2024 09:36:52,72.90,53.70
07/10/2024 09:35:41,72.93,54.03
07/10/2024 08:45:51,72.82,53.70
07/10/2024 08:38:38,72.84,53.70
07/10/2024 08:36:09,72.68,53.70
07/10/2024 07:45:15,72.77,53.70
07/10/2024 06:45:11,72.64,53.70
07/10/2024 05:45:08,72.52,53.70
07/10/2024 04:45:04,72.43,53.70
07/10/2024 03:45:01,72.28,54.03
07/10/2024 02:44:57,72.03,53.70
07/10/2024 01:44:54,71.73,53.40
07/10/2024 00:44:50,71.65,53.40
