"Timestamp (America/Chicago)","RA3E-F52ABC 2118 T&H Sensor [Temperature & Humidity](2)Temperature(F°)","RA3E-F52ABC 2118 T&H Sensor [Temperature & Humidity](2)Humidity(%RH)"
07/24/2024 23:26:48,73.33,35.25
07/24/2024 22:26:45,73.40,34.95
07/24/2024 21:26:41,73.63,34.95
07/24/2024 20:26:38,73.62,34.95
07/24/2024 19:26:35,73.74,34.95
07/24/2024 18:26:31,73.80,34.95
07/24/2024 17:26:27,73.90,34.62
07/24/2024 16:26:23,73.92,34.62
07/24/2024 15:26:20,73.90,34.62
07/24/2024 14:26:16,73.76,34.62
07/24/2024 13:26:13,73.71,34.95
07/24/2024 12:26:09,73.40,34.95
07/24/2024 11:26:06,73.18,35.58
07/24/2024 10:26:02,73.00,35.58
07/24/2024 09:25:59,73.00,35.58
07/24/2024 09:18:56,73.11,35.58
07/24/2024 09:17:44,73.08,35.58
07/24/2024 08:26:09,72.99,35.58
07/24/2024 07:28:42,72.99,35.58
07/24/2024 06:28:38,73.06,35.58
07/24/2024 02:28:24,72.99,35.58
07/23/2024 20:28:03,72.86,35.58
07/23/2024 15:27:45,72.91,35.58
07/23/2024 14:27:41,73.08,35.25
07/23/2024 13:27:38,72.91,35.58
07/23/2024 12:27:34,72.95,35.25
07/23/2024 11:27:31,73.09,35.25
07/23/2024 10:27:27,72.97,35.58
07/23/2024 09:27:23,73.17,35.58
07/23/2024 09:20:28,73.24,35.25
07/23/2024 09:19:16,73.20,35.58
07/23/2024 08:19:39,73.00,35.58
07/23/2024 07:28:23,73.22,34.95
07/22/2024 21:27:47,73.87,34.62
07/22/2024 16:27:30,74.03,34.00
07/22/2024 14:27:22,73.83,34.30
07/22/2024 13:27:18,73.62,34.30
07/22/2024 09:21:36,72.79,34.95
07/22/2024 05:31:40,72.82,35.25
07/22/2024 04:31:36,72.70,35.25
07/22/2024 03:31:33,72.91,35.25
07/22/2024 02:31:29,72.88,35.25
07/22/2024 01:31:25,72.82,35.25
07/22/2024 00:31:22,72.84,35.25
07/21/2024 23:31:18,72.88,35.25
07/21/2024 22:31:14,72.95,35.25
07/21/2024 21:31:11,72.86,35.25
07/21/2024 20:31:08,72.93,35.25
07/21/2024 19:31:04,72.90,35.58
07/21/2024 18:31:00,72.91,35.25
07/21/2024 17:30:57,72.70,35.25
07/21/2024 16:30:53,72.81,35.25
07/21/2024 15:30:50,72.68,35.58
07/21/2024 14:30:46,72.84,35.58
07/21/2024 13:30:43,72.90,35.58
07/21/2024 12:30:39,72.93,35.58
07/21/2024 11:30:35,72.88,35.25
07/21/2024 10:30:32,72.68,35.58
07/21/2024 09:30:28,72.88,35.58
07/21/2024 09:23:14,72.81,35.58
07/21/2024 09:22:01,72.97,35.58
07/21/2024 08:33:15,73.06,35.25
07/21/2024 08:25:07,72.90,35.25
07/21/2024 08:22:29,72.84,35.58
07/21/2024 07:33:57,73.08,35.58
07/21/2024 06:33:54,73.00,35.58
07/21/2024 05:33:50,72.97,35.58
07/21/2024 04:33:47,72.93,35.58
07/21/2024 03:33:43,72.88,35.58
07/21/2024 02:33:40,72.95,35.25
07/21/2024 01:33:36,73.04,35.58
07/21/2024 00:33:33,73.11,35.58
07/20/2024 23:33:29,72.84,35.58
07/20/2024 22:33:25,72.86,35.90
07/20/2024 21:33:22,72.90,35.90
07/20/2024 20:33:18,72.82,35.90
07/20/2024 19:33:15,72.77,36.22
07/20/2024 18:33:11,72.97,35.90
07/20/2024 17:33:08,72.84,36.22
07/20/2024 16:33:04,72.90,36.22
07/20/2024 15:33:01,72.93,36.22
07/20/2024 14:32:57,72.97,36.22
07/20/2024 13:32:53,72.99,36.22
07/20/2024 12:32:50,72.99,36.22
07/20/2024 11:32:46,72.97,36.53
07/20/2024 10:32:43,73.09,36.53
07/20/2024 09:32:39,73.09,36.53
07/20/2024 09:24:45,73.29,36.53
07/20/2024 09:23:29,73.22,36.53
07/20/2024 08:34:25,73.33,36.53
07/20/2024 08:26:32,73.29,36.53
