"Timestamp (America/Chicago)","RA3E-F52ABC 2118 T&H Sensor [Temperature & Humidity](2)Temperature(F°)","RA3E-F52ABC 2118 T&H Sensor [Temperature & Humidity](2)Humidity(%RH)","RA3E-F52ABC 2118 T&H Sensor [Temperature & Humidity](2)Dew Point(F°)"
08/23/2024 09:37:37,72.28,44.48,49.38
08/23/2024 08:37:32,71.13,46.72,49.64
08/23/2024 07:37:29,71.08,45.75,49.03
08/23/2024 06:37:25,71.06,46.40,49.39
08/23/2024 05:37:22,71.15,46.72,49.66
08/23/2024 04:37:18,71.13,46.72,49.64
08/23/2024 03:37:14,71.11,45.75,49.06
08/23/2024 02:37:11,71.26,45.75,49.19
08/23/2024 01:37:07,71.06,45.75,49.01
08/23/2024 00:37:04,71.29,45.75,49.23
08/22/2024 23:37:00,71.17,45.12,48.74
08/22/2024 22:36:57,71.28,45.12,48.84
08/22/2024 21:36:53,71.19,47.03,49.87
08/22/2024 20:36:50,71.49,47.03,50.15
08/22/2024 20:02:40,71.38,42.25,47.18
08/22/2024 19:02:37,71.49,44.80,48.85
08/22/2024 18:02:33,71.65,47.35,50.48
08/22/2024 17:02:30,72.05,46.72,50.49
08/22/2024 16:02:26,72.95,44.48,49.99
08/22/2024 15:02:23,72.82,43.85,49.49
08/22/2024 14:02:19,72.84,43.53,49.31
08/22/2024 13:02:15,72.46,45.12,49.93
08/22/2024 12:02:12,72.93,42.58,48.80
08/22/2024 11:08:54,72.70,37.50,45.21
08/22/2024 10:08:50,72.66,39.40,46.48
08/22/2024 09:08:47,72.81,40.67,47.46
08/22/2024 08:08:43,72.73,41.62,48.01
08/22/2024 07:08:40,72.81,42.58,48.68
08/22/2024 06:08:37,72.70,42.58,48.58
08/22/2024 05:08:32,72.75,42.58,48.63
08/22/2024 04:08:29,72.68,42.58,48.57
08/22/2024 03:08:25,72.64,41.95,48.14
08/22/2024 02:08:22,72.59,41.30,47.67
08/22/2024 01:08:18,72.54,41.00,47.43
08/22/2024 00:08:15,72.32,40.35,46.81
08/21/2024 23:08:11,72.37,41.30,47.47
08/21/2024 22:08:08,72.27,41.95,47.79
08/21/2024 21:08:04,72.32,41.30,47.43
08/21/2024 20:08:00,72.32,40.35,46.81
08/21/2024 19:07:57,72.27,40.67,46.97
08/21/2024 18:07:54,72.39,39.72,46.45
08/21/2024 17:07:50,72.16,41.00,47.08
08/21/2024 16:07:47,71.94,42.25,47.69
08/21/2024 15:07:43,71.47,44.48,48.64
08/21/2024 14:07:39,70.52,45.12,48.15
08/21/2024 13:07:36,70.09,44.48,47.37
08/21/2024 12:07:32,70.74,42.58,46.80
08/21/2024 11:07:29,70.61,41.00,45.68
08/21/2024 10:07:25,70.56,40.67,45.42
08/21/2024 09:07:22,70.68,41.95,46.36
08/21/2024 08:07:18,70.79,45.75,48.77
08/21/2024 07:07:14,70.77,46.40,49.13
08/21/2024 06:07:11,70.74,46.40,49.09
08/21/2024 05:07:07,70.77,46.40,49.13
08/21/2024 04:07:04,70.72,46.08,48.89
08/21/2024 03:07:00,70.70,45.75,48.68
08/21/2024 02:06:57,70.83,44.80,48.24
08/21/2024 01:06:54,70.81,44.48,48.03
08/21/2024 00:06:50,70.66,44.48,47.90
