"Timestamp (America/Chicago)","RA12S-705FAC Thermal Chamber T&H Sensor [Temperature & Humidity](2)Temperature(F°)","RA12S-705FAC Thermal Chamber T&H Sensor [Temperature & Humidity](2)Humidity(%RH)"
08/19/2024 23:38:04,71.78,25.46
08/19/2024 22:38:30,71.60,25.46
08/19/2024 21:38:55,71.78,25.46
08/19/2024 20:39:22,71.60,25.46
08/19/2024 19:39:48,71.78,25.46
08/19/2024 18:40:13,71.78,25.46
08/19/2024 17:40:39,71.78,25.46
08/19/2024 16:41:04,71.60,25.46
08/19/2024 15:41:30,71.78,25.12
08/19/2024 14:41:55,71.60,25.46
08/19/2024 13:42:21,71.78,25.12
08/19/2024 12:42:47,71.96,25.12
08/19/2024 11:43:12,71.96,25.12
08/19/2024 10:43:39,72.14,25.12
08/19/2024 09:44:04,72.14,25.12
08/19/2024 08:44:29,71.96,24.80
08/19/2024 07:44:54,72.14,24.80
08/19/2024 06:45:18,72.14,24.80
08/19/2024 05:45:43,71.96,24.80
08/19/2024 04:46:07,71.96,24.80
08/19/2024 03:46:32,71.96,24.48
08/19/2024 02:46:57,71.96,24.48
08/19/2024 01:47:23,72.14,24.48
08/19/2024 00:47:49,71.96,24.48
08/18/2024 23:48:14,72.14,24.48
08/18/2024 22:48:40,71.96,24.48
08/18/2024 21:49:06,71.96,24.48
08/18/2024 20:49:34,72.32,24.48
08/18/2024 19:50:02,72.14,24.16
08/18/2024 18:50:29,71.96,24.16
08/18/2024 17:50:57,72.32,24.16
08/18/2024 16:51:24,71.96,24.16
08/18/2024 15:51:51,71.96,23.83
08/18/2024 14:52:17,72.32,23.83
08/18/2024 13:52:43,72.32,23.83
08/18/2024 12:53:10,72.32,23.51
08/18/2024 11:53:36,72.14,23.19
08/18/2024 10:54:03,72.14,23.19
08/18/2024 09:54:31,72.14,23.19
08/18/2024 08:54:59,72.32,23.19
08/18/2024 07:55:26,72.32,22.87
08/18/2024 06:55:54,72.14,22.87
08/18/2024 05:56:21,72.32,22.53
08/18/2024 04:56:49,72.32,22.53
08/18/2024 03:57:15,72.32,22.53
08/18/2024 02:57:42,72.32,22.53
08/18/2024 01:58:08,72.32,22.53
08/18/2024 00:58:35,72.32,22.20
08/17/2024 23:59:01,72.32,22.20
08/17/2024 22:59:28,72.50,21.88
08/17/2024 21:59:57,72.32,21.88
08/17/2024 21:00:23,72.32,21.88
08/17/2024 20:00:49,72.32,21.56
08/17/2024 19:01:15,72.32,21.24
08/17/2024 18:01:39,72.32,21.24
08/17/2024 17:02:06,72.32,21.24
08/17/2024 16:02:32,72.50,20.91
08/17/2024 15:02:58,72.32,20.91
08/17/2024 14:03:24,72.50,20.59
08/17/2024 13:03:50,72.68,20.59
08/17/2024 12:04:17,72.50,20.27
08/17/2024 11:04:43,72.50,19.95
08/17/2024 10:05:10,72.50,19.95
08/17/2024 09:05:36,72.86,19.61
08/17/2024 08:06:02,72.86,19.61
08/17/2024 07:06:29,72.68,19.29
08/17/2024 06:06:55,72.68,19.29
08/17/2024 05:07:21,72.68,18.96
08/17/2024 04:07:47,72.68,18.64
08/17/2024 03:08:13,73.04,18.32
08/17/2024 02:08:38,72.86,18.00
08/17/2024 01:09:04,73.04,17.67
08/17/2024 00:09:28,73.04,17.35
08/16/2024 23:09:54,73.04,17.35
08/16/2024 22:10:21,73.22,17.01
08/16/2024 21:10:46,73.22,16.69
08/16/2024 20:11:11,73.76,16.37
08/16/2024 19:11:35,73.58,16.04
08/16/2024 18:12:00,73.40,16.04
08/16/2024 17:12:25,73.22,15.72
08/16/2024 16:12:51,73.04,15.72
08/16/2024 15:13:15,72.68,15.40
08/16/2024 14:13:40,72.50,15.08
08/16/2024 13:14:05,72.14,15.08
08/16/2024 12:14:29,72.50,14.75
08/16/2024 11:14:53,72.32,14.41
08/16/2024 10:15:17,72.32,14.09
08/16/2024 09:15:42,72.32,13.77
08/16/2024 08:16:09,72.32,13.45
08/16/2024 07:16:35,72.32,12.80
08/16/2024 06:17:01,72.32,12.48
08/16/2024 05:17:27,72.14,12.16
08/16/2024 04:17:53,72.14,11.83
08/16/2024 03:18:19,72.14,11.50
08/16/2024 02:18:45,72.14,10.85
08/16/2024 01:19:12,72.32,10.53
08/16/2024 00:19:37,72.32,9.88
