"Timestamp (America/Chicago)","RA12S-705FAC Big Dry Storage T&H Sensor [Temperature & Humidity](3)Temperature(F°)","RA12S-705FAC Big Dry Storage T&H Sensor [Temperature & Humidity](3)Humidity(%RH)"
08/23/2024 09:41:50,74.30,14.75
08/23/2024 08:42:16,73.04,15.40
08/23/2024 07:42:41,73.22,15.40
08/23/2024 06:43:07,73.22,15.40
08/23/2024 05:43:33,73.58,15.40
08/23/2024 04:43:58,73.40,15.08
08/23/2024 03:44:23,73.40,15.08
08/23/2024 02:44:48,73.22,15.40
08/23/2024 01:45:12,73.58,15.40
08/23/2024 00:45:37,73.58,15.08
